Site,Site2,Month,Order2,PlantSpecies,Color,Range,Blooms,Date,Count,countabun,abuncount1,logabuncount1
Boyd,Site 2,September,1,Red clover,Purple,Non-Native,72,9/5/2020,0,0,1,0
Boyd,Site 2,September,1,Red clover,Purple,Non-Native,72,9/19/2020,0,0,1,0
Jesse,Site 3,September,1,Red clover,Purple,Non-Native,55,9/13/2020,41,0.745454545,1.745454545,0.241908544
Jesse,Site 3,September,1,Red clover,Purple,Non-Native,55,9/26/2020,1,0.018181818,1.018181818,0.007825338
Boyd,Site 2,September,49,Sawtooth sunflower,Yellow,Native,45,9/5/2020,40,0.888888889,1.888888889,0.276206412
Boyd,Site 2,September,49,Sawtooth sunflower,Yellow,Native,45,9/19/2020,0,0,1,0
Boyd,Site 2,September,50,Tall boneset,White,Native,1060,9/5/2020,69,0.06509434,1.06509434,0.027388077
Boyd,Site 2,September,50,Tall boneset,White,Native,1060,9/19/2020,4,0.003773585,1.003773585,0.001635763
Uthe,Site 4,September,50,Tall boneset,White,Native,480,9/5/2020,2,0.004166667,1.004166667,0.001805801
Uthe,Site 4,September,50,Tall boneset,White,Native,480,9/19/2020,0,0,1,0
Boyd,Site 2,September,44,White heath aster,White,Native,250,9/5/2020,7,0.028,1.028,0.011993115
Boyd,Site 2,September,44,White heath aster,White,Native,250,9/19/2020,0,0,1,0
Uthe,Site 4,September,44,White heath aster,White,Native,90,9/5/2020,0,0,1,0
Uthe,Site 4,September,44,White heath aster,White,Native,90,9/19/2020,0,0,1,0
